experiment_type,experiment_id,name,category,numeric_value,display_value,unit,direction
evaluation,eval-task-ab0nlb-1784963971,detail.score,,1.0205420687341944,1.0205420687341944,,max
evaluation,eval-task-ab0nlb-1784963971,score,,1.0205420687341944,1.0205420687341944,,max
evaluation,eval-task-b7l9ri-1782990342,detail.metrics.metrics.summary.r1,,0.10880430294983633,0.10880430294983633,,max
evaluation,eval-task-b7l9ri-1782990342,detail.metrics.metrics.summary.r2,,0.4383,0.4383,,max
evaluation,eval-task-b7l9ri-1782990342,detail.metrics.metrics.summary.r3,,0.14237918215613382,0.14237918215613382,,max
evaluation,eval-task-b7l9ri-1782990342,detail.metrics.metrics.summary.totalScore,,0.8427935896355868,0.8427935896355868,,max
evaluation,eval-task-b7l9ri-1782990342,detail.metrics.score,,0.8427935896355868,0.8427935896355868,,max
evaluation,eval-task-b7l9ri-1782990342,detail.score,,0.8427935896355868,0.8427935896355868,,max
evaluation,eval-task-b7l9ri-1782990342,score,,0.8427935896355868,0.8427935896355868,,max
evaluation,eval-task-b8fnw7-1783566714,detail.metrics.metrics.summary.r1,,0.08451772765369608,0.08451772765369608,,max
evaluation,eval-task-b8fnw7-1783566714,detail.metrics.metrics.summary.r2,,0.35519999999999996,0.35519999999999996,,max
evaluation,eval-task-b8fnw7-1783566714,detail.metrics.metrics.summary.r3,,0.08773234200743495,0.08773234200743495,,max
evaluation,eval-task-b8fnw7-1783566714,detail.metrics.metrics.summary.totalScore,,0.619436132378901,0.619436132378901,,max
evaluation,eval-task-b8fnw7-1783566714,detail.metrics.score,,0.619436132378901,0.619436132378901,,max
evaluation,eval-task-b8fnw7-1783566714,detail.score,,0.619436132378901,0.619436132378901,,max
evaluation,eval-task-b8fnw7-1783566714,score,,0.619436132378901,0.619436132378901,,max
evaluation,eval-task-bdu25q-1784560715,detail.metrics.metrics.summary.r1,,0.16191938648625664,0.16191938648625664,,max
evaluation,eval-task-bdu25q-1784560715,detail.metrics.metrics.summary.r2,,0.4388,0.4388,,max
evaluation,eval-task-bdu25q-1784560715,detail.metrics.metrics.summary.r3,,0.15947955390334573,0.15947955390334573,,max
evaluation,eval-task-bdu25q-1784560715,detail.metrics.metrics.summary.totalScore,,1.0054951076369891,1.0054951076369891,,max
evaluation,eval-task-bdu25q-1784560715,detail.metrics.score,,1.0054951076369891,1.0054951076369891,,max
evaluation,eval-task-bdu25q-1784560715,detail.score,,1.0054951076369891,1.0054951076369891,,max
evaluation,eval-task-bdu25q-1784560715,score,,1.0054951076369891,1.0054951076369891,,max
evaluation,eval-task-bqnlt3-1785055849,detail.metrics.metrics.summary.r1,,0.11177319358064916,0.11177319358064916,,max
evaluation,eval-task-bqnlt3-1785055849,detail.metrics.metrics.summary.r2,,0.4126,0.4126,,max
evaluation,eval-task-bqnlt3-1785055849,detail.metrics.metrics.summary.r3,,0.13048327137546467,0.13048327137546467,,max
evaluation,eval-task-bqnlt3-1785055849,detail.metrics.metrics.summary.totalScore,,0.8388285903916539,0.8388285903916539,,max
evaluation,eval-task-bqnlt3-1785055849,detail.metrics.score,,0.8388285903916539,0.8388285903916539,,max
evaluation,eval-task-bqnlt3-1785055849,detail.score,,0.8388285903916539,0.8388285903916539,,max
evaluation,eval-task-bqnlt3-1785055849,score,,0.8388285903916539,0.8388285903916539,,max
evaluation,eval-task-bqx37j-1785346299,detail.metrics.metrics.summary.r1,,0.1604910135533124,0.1604910135533124,,max
evaluation,eval-task-bqx37j-1785346299,detail.metrics.metrics.summary.r2,,0.4346999999999999,0.4346999999999999,,max
evaluation,eval-task-bqx37j-1785346299,detail.metrics.metrics.summary.r3,,0.15799256505576206,0.15799256505576206,,max
